area;u_18;18_24;25_34;35_44;45_54;55_64;65_74;o_75;pop;White;Black;Native;Asian;Hawaiian;Other;2_or_more;Hispanic;Non_Hispanic;;;
17820;25,9;10,7;13,8;13,1;15,1;11,2;5,8;4,3;645.613;80,28;5,98;0,95;2,67;0,34;4,77;5,01;14,71;85,29;;;
17860;21,1;20,5;14,9;11,4;12,4;10,1;5,2;4,5;172.786;83,30;9,05;0,39;3,57;0,06;0,87;2,76;2,90;97,10;;;
17900;23,5;11,9;13,8;13,2;14,3;11,8;6,6;4,9;767.598;60,39;33,23;0,36;1,66;0,09;2,33;1,95;5,10;94,90;;;
17980;25,4;11,2;14,2;12,5;13,8;11,2;6,5;5,3;294.865;52,47;40,37;0,40;1,69;0,22;2,15;2,71;5,73;94,27;;;
18020;25,2;7,9;12,7;13,6;14,3;12,2;7,8;6,2;76.794;89,62;1,85;0,27;3,43;0,06;3,19;1,58;6,20;93,80;;;
18140;24,8;10,4;14,7;14,1;14,5;11,0;5,9;4,7;1.836.536;77,52;14,90;0,23;3,12;0,05;1,66;2,53;3,62;96,38;;;
18580;25,9;9,9;13,0;12,1;14,3;12,0;7,0;5,8;428.185;82,51;3,51;0,63;1,57;0,08;9,29;2,42;57,74;42,26;;;
18700;17,8;23,0;12,2;10,0;12,5;12,4;6,3;5,7;85.579;87,06;0,89;0,73;5,18;0,25;2,32;3,58;6,39;93,61;;;
18880;22,3;10,2;13,8;12,0;15,9;11,8;7,8;6,2;180.822;81,06;9,29;0,59;2,95;0,20;1,99;3,93;6,80;93,20;;;
19060;18,8;11,9;11,6;12,6;14,3;13,2;9,4;8,3;103.299;90,87;6,59;0,14;0,66;0,03;0,22;1,49;1,25;98,75;;;
19100;27,8;9,4;14,9;15,0;14,2;9,8;5,1;3,7;6.371.773;65,31;15,10;0,68;5,36;0,10;10,64;2,82;27,50;72,50;;;
19140;28,1;9,4;13,0;14,3;13,7;10,5;6,6;4,4;142.227;80,11;2,88;0,57;1,02;0,07;13,05;2,30;26,45;73,55;;;
19180;24,4;8,1;11,9;11,8;14,5;13,0;8,5;7,8;81.625;82,48;12,95;0,23;0,69;0,02;1,46;2,17;4,22;95,78;;;
19260;21,3;8,1;10,3;12,1;15,7;14,5;9,6;8,3;106.561;64,23;32,67;0,21;0,55;0,03;1,12;1,19;2,42;97,58;;;
19340;23,6;8,7;12,6;12,2;14,8;13,1;7,8;7,2;379.690;86,03;6,81;0,26;1,58;0,03;2,59;2,69;7,64;92,36;;;
19380;23,0;10,1;12,1;12,2;14,8;12,8;7,8;7,1;841.502;79,96;14,95;0,23;1,83;0,03;0,70;2,29;2,05;97,95;;;
19460;23,8;8,4;12,3;13,5;15,3;12,6;8,3;6,0;153.829;79,34;11,78;1,95;0,48;0,07;3,88;2,50;6,33;93,67;;;
19500;22,8;9,3;11,7;11,6;14,7;13,5;8,2;8,2;110.768;79,31;16,27;0,20;1,01;0,03;0,68;2,49;1,87;98,13;;;
19660;18,9;9,0;10,3;11,4;15,0;14,3;10,9;10,2;494.593;82,54;10,47;0,36;1,53;0,04;2,93;2,12;11,16;88,84;;;
19740;24,9;8,6;15,3;14,8;14,8;11,4;5,7;4,4;2.543.482;77,96;5,63;0,99;3,70;0,12;8,03;3,58;22,45;77,55;;;
19780;26,0;8,7;15,1;14,0;14,1;11,0;5,9;5,2;569.633;87,22;4,75;0,29;3,02;0,05;2,52;2,14;6,67;93,33;;;
19820;24,3;8,6;11,8;13,8;15,7;12,6;6,9;6,3;4.296.250;70,09;22,82;0,35;3,29;0,02;1,23;2,20;3,91;96,09;;;
20020;23,9;8,1;12,1;12,9;14,6;13,0;8,7;6,7;145.639;72,81;23,11;0,50;0,65;0,04;1,28;1,61;2,96;97,04;;;
20100;24,9;11,0;12,3;12,7;14,3;11,3;7,8;5,7;162.310;67,77;23,97;0,64;2,04;0,06;1,99;3,53;5,76;94,24;;;
20220;23,8;10,6;11,9;11,7;14,6;12,2;7,6;7,7;93.653;94,06;2,65;0,19;0,94;0,31;0,55;1,30;1,93;98,07;;;
20260;20,5;11,5;11,8;11,3;15,3;14,0;7,8;7,7;279.771;92,61;1,33;2,66;0,83;0,03;0,21;2,34;1,21;98,79;;;
20500;22,1;12,6;15,3;13,6;13,7;11,6;6,2;5,0;504.357;59,28;27,07;0,50;4,39;0,05;6,33;2,39;11,28;88,72;;;
20740;22,1;13,5;13,0;11,8;14,2;12,2;6,8;6,5;161.151;93,98;1,15;0,48;2,53;0,03;0,43;1,39;1,62;98,38;;;
20940;29,3;10,9;13,9;13,1;12,9;9,5;5,6;4,8;174.528;58,76;3,31;1,75;1,63;0,09;30,03;4,42;80,37;19,63;;;
21060;25,7;9,7;13,9;13,2;14,9;11,0;6,5;5,0;119.736;82,10;10,62;0,48;1,78;0,30;1,41;3,31;4,78;95,22;;;
21140;28,4;8,9;12,8;13,1;13,5;11,1;6,4;5,7;197.559;82,91;5,72;0,38;0,97;0,04;7,49;2,49;14,12;85,88;;;
21300;22,4;8,9;11,8;12,3;15,7;13,2;7,7;8,0;88.830;88,68;6,56;0,26;1,19;0,02;0,62;2,67;2,52;97,48;;;
21340;30,1;11,2;13,3;13,1;12,7;9,3;5,5;4,7;800.647;82,06;3,11;0,75;1,03;0,12;10,47;2,46;82,20;17,80;;;
21500;22,7;11,6;11,7;12,1;14,7;12,6;7,3;7,3;280.566;88,24;7,18;0,20;1,10;0,03;1,15;2,10;3,39;96,61;;;
21660;19,8;12,6;13,1;11,6;13,7;14,2;8,1;6,9;351.715;88,33;0,96;1,16;2,37;0,22;2,80;4,17;7,44;92,56;;;
21780;23,3;9,7;12,3;12,3;15,3;12,8;7,5;6,8;358.676;89,89;6,17;0,21;0,95;0,05;0,85;1,87;1,94;98,06;;;
21820;25,6;13,4;16,6;12,8;13,9;11,1;4,3;2,3;97.581;77,04;4,53;7,05;2,66;0,41;1,48;6,84;5,79;94,21;;;
22020;22,2;16,6;16,0;11,9;12,7;10,2;5,1;5,3;208.777;91,96;2,05;1,26;2,10;0,03;0,64;1,97;2,43;97,57;;;
22140;29,0;9,8;13,8;11,7;14,0;11,0;6,1;4,7;130.044;51,56;0,58;36,63;0,37;0,06;7,31;3,49;19,05;80,95;;;
22180;27,2;12,2;16,1;12,8;13,0;9,6;5,4;3,8;366.383;50,59;36,26;2,63;2,07;0,37;3,46;4,63;9,83;90,17;;;
22220;26,7;11,2;14,9;13,3;12,7;9,9;6,3;5,0;463.204;81,91;1,94;1,51;2,38;1,09;8,45;2,73;14,92;85,08;;;
22380;23,6;17,7;13,5;11,5;13,4;11,4;5,5;3,3;134.421;61,72;1,21;27,31;1,37;0,12;5,20;3,06;13,51;86,49;;;
22420;25,0;8,9;11,8;12,9;15,3;12,4;7,3;6,4;425.790;74,54;20,70;0,53;0,91;0,02;0,71;2,59;3,05;96,95;;;
22500;24,5;9,4;12,0;12,9;14,4;13,3;7,9;5,6;205.566;55,20;41,39;0,32;0,91;0,02;1,05;1,11;2,03;97,97;;;
22520;21,8;9,9;11,1;12,5;14,6;13,1;9,4;7,6;147.137;84,21;12,25;0,41;0,62;0,04;1,01;1,46;2,16;97,84;;;
22540;22,7;9,1;12,1;12,7;15,6;12,9;7,4;7,6;101.633;94,14;1,28;0,46;1,13;0,02;1,67;1,29;4,30;95,70;;;
22660;21,4;13,9;14,1;12,2;14,2;12,3;6,6;5,2;299.630;90,53;0,83;0,74;1,94;0,07;3,25;2,64;10,56;89,44;;;
22900;25,5;9,0;12,2;12,8;14,4;12,1;8,0;6,0;298.592;78,63;3,56;6,34;2,22;0,07;4,63;4,54;8,19;91,81;;;
23060;26,7;9,2;12,9;12,8;14,4;11,8;6,4;5,9;416.257;81,93;10,04;0,34;2,39;0,05;2,59;2,66;5,81;94,19;;;
23420;29,8;11,7;14,3;12,3;12,4;9,5;5,3;4,7;930.450;55,37;5,32;1,68;9,60;0,15;23,33;4,54;50,31;49,69;;;
23460;23,0;8,5;11,5;13,4;14,3;13,5;8,7;7,1;104.430;80,27;15,13;0,43;0,64;0,16;1,89;1,48;3,30;96,70;;;
23540;18,1;22,5;14,6;10,4;12,1;11,1;6,1;5,0;264.275;70,97;19,37;0,32;5,03;0,06;1,68;2,57;8,17;91,83;;;
23580;27,9;9,3;13,4;14,3;13,5;10,5;6,4;4,7;179.684;74,13;7,39;0,45;1,80;0,09;13,94;2,20;26,10;73,90;;;
24020;20,8;8,1;11,1;13,1;16,4;14,2;8,7;7,6;128.923;95,57;1,93;0,21;0,56;0,02;0,50;1,22;2,04;97,96;;;
24140;24,9;10,0;13,2;12,6;14,5;11,8;7,4;5,7;122.623;58,83;31,40;0,39;1,17;0,05;5,86;2,30;9,92;90,08;;;
24220;21,3;17,9;13,5;10,5;13,3;11,1;6,1;6,3;98.461;91,26;1,66;2,14;1,53;0,04;1,07;2,30;3,73;96,27;;;
24300;23,5;9,9;13,1;11,4;14,3;12,9;7,8;7,1;146.723;89,41;0,64;1,06;0,76;0,11;5,37;2,65;13,33;86,67;;;
24340;25,9;10,1;13,4;12,8;14,8;11,3;6,1;5,5;774.160;83,07;8,06;0,52;1,90;0,04;3,76;2,66;8,43;91,57;;;
24500;22,9;10,1;12,8;11,1;14,7;12,7;8,2;7,4;81.327;89,25;1,24;4,29;0,84;0,11;0,65;3,62;3,33;96,67;;;
