FFIEC CENSUS AND FFIEC ESTIMATED MSA/MD MEDIAN FAMILY INCOME FOR 2018 CRA/HMDA REPORTS;;;;;;
MSA/MD FIPS CODE NO. ;MSA/MD NAME;2015 MSA/MD MED* FAMILY INCOME;2018 FFIEC EST. MSA/MD MEDIAN FAMILY INCOME**;;;
26620;HUNTSVILLE, AL                                                                                                                  ;72576;78700;;;
26820;IDAHO FALLS, ID                                                                                                                 ;57604;62100;;;
26900;INDIANAPOLIS-CARMEL-ANDERSON, IN                                                                                                ;66803;75100;;;
26980;IOWA CITY, IA                                                                                                                   ;81027;85400;;;
27060;ITHACA, NY                                                                                                                      ;74524;89000;;;
27100;JACKSON, MI                                                                                                                     ;58432;62400;;;
27140;JACKSON, MS                                                                                                                     ;56700;60700;;;
27180;JACKSON, TN                                                                                                                     ;53433;57700;;;
27260;JACKSONVILLE, FL                                                                                                                ;64042;69900;;;
27340;JACKSONVILLE, NC                                                                                                                ;51012;53000;;;
27500;JANESVILLE-BELOIT, WI                                                                                                           ;60820;66900;;;
27620;JEFFERSON CITY, MO                                                                                                              ;62292;74500;;;
27740;JOHNSON CITY, TN                                                                                                                ;50296;54100;;;
27780;JOHNSTOWN, PA                                                                                                                   ;55933;64200;;;
27860;JONESBORO, AR                                                                                                                   ;49928;53100;;;
27900;JOPLIN, MO                                                                                                                      ;51752;56700;;;
27980;KAHULUI-WAILUKU-LAHAINA, HI                                                                                                     ;76193;81400;;;
28020;KALAMAZOO-PORTAGE, MI                                                                                                           ;61149;70300;;;
28100;KANKAKEE, IL                                                                                                                    ;63716;67900;;;
28140;KANSAS CITY, MO-KS                                                                                                              ;72623;79900;;;
28420;KENNEWICK-RICHLAND, WA                                                                                                          ;66500;72800;;;
28660;KILLEEN-TEMPLE, TX                                                                                                              ;58001;59900;;;
28700;KINGSPORT-BRISTOL-BRISTOL, TN-VA                                                                                                ;51210;54800;;;
28740;KINGSTON, NY                                                                                                                    ;74546;79200;;;
28940;KNOXVILLE, TN                                                                                                                   ;59210;64100;;;
29020;KOKOMO, IN                                                                                                                      ;59111;64100;;;
29100;LA CROSSE-ONALASKA, WI-MN                                                                                                       ;68531;72400;;;
29180;LAFAYETTE, LA                                                                                                                   ;59988;64800;;;
29200;LAFAYETTE-WEST LAFAYETTE, IN                                                                                                    ;62506;69800;;;
29340;LAKE CHARLES, LA                                                                                                                ;57618;60000;;;
29404;LAKE COUNTY-KENOSHA COUNTY, IL-WI                                                                                               ;87137;96500;;;
29420;LAKE HAVASU CITY-KINGMAN, AZ                                                                                                    ;46268;49600;;;
29460;LAKELAND-WINTER HAVEN, FL                                                                                                       ;50986;53600;;;
29540;LANCASTER, PA                                                                                                                   ;68937;73800;;;
29620;LANSING-EAST LANSING, MI                                                                                                        ;66143;73900;;;
29700;LAREDO, TX                                                                                                                      ;41922;44200;;;
29740;LAS CRUCES, NM                                                                                                                  ;45044;44700;;;
29820;LAS VEGAS-HENDERSON-PARADISE, NV                                                                                                ;59993;64800;;;
29940;LAWRENCE, KS                                                                                                                    ;72755;87400;;;
30020;LAWTON, OK                                                                                                                      ;57051;61200;;;
30140;LEBANON, PA                                                                                                                     ;65676;70100;;;
30300;LEWISTON, ID-WA                                                                                                                 ;58484;69200;;;
30340;LEWISTON-AUBURN, ME                                                                                                             ;60363;63900;;;
30460;LEXINGTON-FAYETTE, KY                                                                                                           ;66800;70100;;;
30620;LIMA, OH                                                                                                                        ;56195;62700;;;
30700;LINCOLN, NE                                                                                                                     ;70200;78600;;;
30780;LITTLE ROCK-NORTH LITTLE ROCK-CONWAY, AR                                                                                        ;61339;65900;;;
30860;LOGAN, UT-ID                                                                                                                    ;59129;64600;;;
30980;LONGVIEW, TX                                                                                                                    ;56689;60000;;;
31020;LONGVIEW, WA                                                                                                                    ;57938;63600;;;
31084;LOS ANGELES-LONG BEACH-GLENDALE, CA                                                                                             ;62703;69300;;;
31140;LOUISVILLE/JEFFERSON COUNTY, KY-IN                                                                                              ;64777;70400;;;
31180;LUBBOCK, TX                                                                                                                     ;57914;62800;;;
31340;LYNCHBURG, VA                                                                                                                   ;60256;63600;;;
31420;MACON-BIBB COUNTY, GA                                                                                                           ;51727;54400;;;
31460;MADERA, CA                                                                                                                      ;49272;55200;;;
31540;MADISON, WI                                                                                                                     ;81321;88600;;;
31700;MANCHESTER-NASHUA, NH                                                                                                           ;85966;94100;;;
31740;MANHATTAN, KS                                                                                                                   ;67332;72200;;;
31860;MANKATO-NORTH MANKATO, MN                                                                                                       ;71814;75000;;;
31900;MANSFIELD, OH                                                                                                                   ;54044;60200;;;
32420;MAYAGÜEZ, PR                                                                                                                    ;21434;19300;;;
32580;MCALLEN-EDINBURG-MISSION, TX                                                                                                    ;37529;40300;;;
32780;MEDFORD, OR                                                                                                                     ;53441;58900;;;
32820;MEMPHIS, TN-MS-AR                                                                                                               ;58186;63400;;;
32900;MERCED, CA                                                                                                                      ;46793;48200;;;
33124;MIAMI-MIAMI BEACH-KENDALL, FL                                                                                                   ;49264;52300;;;
33140;MICHIGAN CITY-LA PORTE, IN                                                                                                      ;58424;60400;;;
33220;MIDLAND, MI                                                                                                                     ;67138;73400;;;
33260;MIDLAND, TX                                                                                                                     ;82297;100700;;;
33340;MILWAUKEE-WAUKESHA-WEST ALLIS, WI                                                                                               ;71764;77300;;;
33460;MINNEAPOLIS-ST. PAUL-BLOOMINGTON, MN-WI                                                                                         ;85636;93600;;;
33540;MISSOULA, MT                                                                                                                    ;65463;70400;;;
33660;MOBILE, AL                                                                                                                      ;54215;59800;;;
33700;MODESTO, CA                                                                                                                     ;55611;60700;;;
33740;MONROE, LA                                                                                                                      ;50145;52200;;;
33780;MONROE, MI                                                                                                                      ;67811;75100;;;
33860;MONTGOMERY, AL                                                                                                                  ;59161;62900;;;
33874;MONTGOMERY COUNTY-BUCKS COUNTY-CHESTER COUNTY, PA                                                                               ;99939;107900;;;
34060;MORGANTOWN, WV                                                                                                                  ;63745;72800;;;
34100;MORRISTOWN, TN                                                                                                                  ;49373;50900;;;
34580;MOUNT VERNON-ANACORTES, WA                                                                                                      ;65272;69100;;;
34620;MUNCIE, IN                                                                                                                      ;51935;58200;;;
34740;MUSKEGON, MI                                                                                                                    ;52263;59300;;;
34820;MYRTLE BEACH-CONWAY-NORTH MYRTLE BEACH, SC-NC                                                                                   ;53695;61700;;;
34900;NAPA, CA                                                                                                                        ;80921;88500;;;
34940;NAPLES-IMMOKALEE-MARCO ISLAND, FL                                                                                               ;66264;75000;;;
34980;NASHVILLE-DAVIDSON--MURFREESBORO--FRANKLIN, TN                                                                                  ;66404;73200;;;
35004;NASSAU COUNTY-SUFFOLK COUNTY, NY                                                                                                ;108193;116700;;;
35084;NEWARK, NJ-PA                                                                                                                   ;95579;100700;;;
35100;NEW BERN, NC                                                                                                                    ;55158;59000;;;
35300;NEW HAVEN-MILFORD, CT                                                                                                           ;80739;86200;;;
35380;NEW ORLEANS-METAIRIE, LA                                                                                                        ;61124;65700;;;
35614;NEW YORK-JERSEY CITY-WHITE PLAINS, NY-NJ                                                                                        ;72047;78000;;;
35660;NILES-BENTON HARBOR, MI                                                                                                         ;57640;60800;;;
35840;NORTH PORT-SARASOTA-BRADENTON, FL                                                                                               ;62814;70300;;;
35980;NORWICH-NEW LONDON, CT                                                                                                          ;82349;86500;;;
36084;OAKLAND-HAYWARD-BERKELEY, CA                                                                                                    ;93822;104400;;;
36100;OCALA, FL                                                                                                                       ;48128;53400;;;
36140;OCEAN CITY, NJ                                                                                                                  ;74509;78700;;;
36220;ODESSA, TX                                                                                                                      ;64450;75300;;;
36260;OGDEN-CLEARFIELD, UT                                                                                                            ;71742;76800;;;
36420;OKLAHOMA CITY, OK                                                                                                               ;64058;69300;;;
36500;OLYMPIA-TUMWATER, WA                                                                                                            ;74420;77700;;;
36540;OMAHA-COUNCIL BLUFFS, NE-IA                                                                                                     ;73632;81300;;;
36740;ORLANDO-KISSIMMEE-SANFORD, FL                                                                                                   ;57304;62900;;;
36780;OSHKOSH-NEENAH, WI                                                                                                              ;67477;71100;;;
36980;OWENSBORO, KY                                                                                                                   ;58106;62300;;;
37100;OXNARD-THOUSAND OAKS-VENTURA, CA                                                                                                ;86766;96000;;;
37340;PALM BAY-MELBOURNE-TITUSVILLE, FL                                                                                               ;60408;64800;;;
37460;PANAMA CITY, FL                                                                                                                 ;56988;62300;;;
37620;PARKERSBURG-VIENNA, WV                                                                                                          ;51552;53500;;;
37860;PENSACOLA-FERRY PASS-BRENT, FL                                                                                                  ;60705;65200;;;
37900;PEORIA, IL                                                                                                                      ;69329;76200;;;
37964;PHILADELPHIA, PA                                                                                                                ;56411;61700;;;
38060;PHOENIX-MESA-SCOTTSDALE, AZ                                                                                                     ;63686;69100;;;
38220;PINE BLUFF, AR                                                                                                                  ;47667;47900;;;
38300;PITTSBURGH, PA                                                                                                                  ;69624;75500;;;
38340;PITTSFIELD, MA                                                                                                                  ;66604;68800;;;
