;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
area;Geographic area;White;"Black or
African
American";"American
Indian
and
Alaska
Native";Asian;"Native
Hawaiian
and Other
Pacific
Islander";"Some
Other
Race";"Two or
More Races1";"Hispanic
or Latino";"Not
Hispanic
or Latino";"Non-
Hispanic
White
alone"
27100;Jackson, MI;87,68;7,95;0,37;0,71;0,02;0,76;2,51;3,02;96,98;85,86
27140;Jackson, MS;49,06;47,68;0,17;1,05;0,04;1,10;0,91;2,11;97,89;48,33
27180;Jackson, TN;63,46;32,23;0,22;0,85;0,03;1,72;1,49;3,16;96,84;62,29
27260;Jacksonville, FL;69,89;21,77;0,39;3,43;0,09;1,82;2,62;6,90;93,10;65,77
27340;Jacksonville, NC;74,02;15,57;0,70;1,89;0,27;3,19;4,36;10,07;89,93;68,94
27500;Janesville, WI;87,64;4,98;0,32;1,02;0,02;3,71;2,31;7,56;92,44;84,53
27620;Jefferson City, MO;88,82;7,44;0,36;0,86;0,05;0,78;1,68;2,12;97,88;87,72
27740;Johnson City, TN;93,35;2,82;0,27;0,84;0,02;1,17;1,51;2,63;97,37;92,14
27780;Johnstown, PA;94,10;3,63;0,10;0,51;0,02;0,41;1,22;1,40;98,60;93,31
27860;Jonesboro, AR;82,97;11,91;0,33;0,93;0,03;2,16;1,67;3,98;96,02;81,50
27900;Joplin, MO;88,60;1,54;1,78;1,10;0,46;3,38;3,15;6,02;93,98;86,59
28020;Kalamazoo-Portage, MI;82,91;9,30;0,53;1,69;0,03;2,39;3,15;5,42;94,58;80,55
28100;Kankakee-Bradley, IL;77,56;15,15;0,25;0,93;0,03;3,97;2,12;8,96;91,04;73,35
28140;Kansas City, MO-KS;78,45;12,50;0,51;2,27;0,16;3,34;2,76;8,19;91,81;74,43
28420;Kennewick-Pasco-Richland, WA;75,66;1,46;0,83;2,42;0,14;16,06;3,43;28,70;71,30;64,83
28660;Killeen-Temple-Fort Hood, TX;64,24;19,56;0,82;2,56;0,77;7,14;4,91;20,34;79,66;54,01
28700;Kingsport-Bristol-Bristol, TN-VA;95,69;1,91;0,24;0,49;0,02;0,52;1,13;1,35;98,65;94,97
28740;Kingston, NY;86,68;6,02;0,33;1,70;0,02;2,49;2,77;8,72;91,28;81,70
28940;Knoxville, TN;88,52;6,42;0,30;1,44;0,07;1,47;1,78;3,42;96,58;86,85
29020;Kokomo, IN;90,02;5,78;0,31;0,82;0,03;0,82;2,23;2,58;97,42;88,61
29100;La Crosse, WI-MN;92,85;1,28;0,39;3,61;0,02;0,29;1,55;1,40;98,60;91,95
29140;Lafayette, IN;85,82;3,47;0,25;5,34;0,03;3,08;2,02;6,98;93,02;82,43
29180;Lafayette, LA;68,69;26,71;0,35;1,36;0,03;1,28;1,58;3,53;96,47;66,78
29340;Lake Charles, LA;71,67;24,00;0,47;1,04;0,05;0,89;1,88;2,55;97,45;70,22
29420;Lake Havasu City-Kingman, AZ;86,86;0,94;2,25;1,05;0,17;5,99;2,74;14,77;85,23;79,61
29460;Lakeland-Winter Haven, FL;75,21;14,75;0,45;1,62;0,06;5,46;2,45;17,69;82,31;64,57
29540;Lancaster, PA;88,59;3,66;0,23;1,90;0,03;3,62;1,96;8,65;91,35;84,89
29620;Lansing-East Lansing, MI;81,57;8,92;0,51;3,78;0,03;1,88;3,31;6,16;93,84;78,28
29700;Laredo, TX;87,97;0,45;0,40;0,58;0,01;9,10;1,47;95,74;4,26;3,33
29740;Las Cruces, NM;74,07;1,75;1,50;1,06;0,09;18,49;3,03;65,72;34,28;30,11
29820;Las Vegas-Paradise, NV;60,89;10,47;0,74;8,65;0,70;13,45;5,09;29,14;70,86;47,97
29940;Lawrence, KS;84,52;3,93;2,66;3,74;0,06;1,34;3,75;5,10;94,90;81,69
30020;Lawton, OK;64,46;17,46;5,86;2,24;0,55;2,96;6,47;11,20;88,80;58,92
30140;Lebanon, PA;91,01;2,16;0,19;1,15;0,03;3,87;1,60;9,29;90,71;86,85
30300;Lewiston, ID-WA;91,61;0,34;4,12;0,65;0,12;0,70;2,46;2,88;97,12;90,10
30340;Lewiston-Auburn, ME;92,79;3,65;0,38;0,72;0,03;0,42;2,00;1,55;98,45;91,86
30460;Lexington-Fayette, KY;81,41;10,82;0,24;2,28;0,04;2,98;2,22;5,88;94,12;78,97
30620;Lima, OH;83,78;11,89;0,19;0,70;0,01;0,79;2,63;2,36;97,64;82,49
30700;Lincoln, NE;87,68;3,30;0,73;3,32;0,05;2,25;2,67;5,61;94,39;85,01
30780;Little Rock-North Little Rock-Conway, AR;71,55;22,16;0,47;1,47;0,05;2,40;1,89;4,80;95,20;69,60
30860;Logan, UT-ID;89,65;0,58;0,59;1,70;0,35;5,25;1,87;9,61;90,39;86,12
30980;Longview, TX;71,79;17,37;0,60;0,80;0,04;7,24;2,17;14,11;85,89;66,01
31020;Longview, WA;88,93;0,63;1,53;1,46;0,23;3,49;3,73;7,79;92,21;85,76
31100;Los Angeles-Long Beach-Santa Ana, CA;52,75;7,07;0,71;14,69;0,28;20,08;4,42;44,44;55,56;31,62
31140;Louisville/Jefferson County, KY-IN;80,77;13,72;0,25;1,57;0,06;1,61;2,03;3,93;96,07;78,85
31180;Lubbock, TX;77,33;7,43;0,73;2,02;0,07;9,97;2,45;32,33;67,67;57,02
31340;Lynchburg, VA;78,24;17,52;0,36;1,33;0,03;0,77;1,76;2,07;97,93;77,13
31420;Macon, GA;52,56;43,45;0,24;1,28;0,06;1,08;1,33;2,44;97,56;51,56
31460;Madera-Chowchilla, CA;62,61;3,73;2,74;1,86;0,11;24,78;4,18;53,69;46,31;38,03
31540;Madison, WI;86,39;4,60;0,36;4,13;0,04;2,22;2,27;5,40;94,60;83,72
31700;Manchester-Nashua, NH;90,38;2,07;0,24;3,23;0,03;2,07;1,98;5,30;94,70;87,65
31740;Manhattan, KS;80,38;8,72;0,74;3,34;0,33;2,21;4,28;7,73;92,27;76,21
31860;Mankato-North Mankato, MN;93,10;2,49;0,29;1,74;0,02;0,82;1,54;2,91;97,09;91,31
31900;Mansfield, OH;87,46;9,41;0,19;0,65;0,03;0,35;1,91;1,39;98,61;86,54
32580;McAllen-Edinburg-Mission, TX;87,98;0,59;0,33;0,97;0,01;8,79;1,32;90,63;9,37;7,82
32780;Medford, OR;88,66;0,68;1,17;1,16;0,29;4,53;3,50;10,70;89,30;83,67
32820;Memphis, TN-MS-AR;47,92;45,67;0,26;1,86;0,05;2,84;1,40;4,97;95,03;46,23
32900;Merced, CA;58,01;3,88;1,36;7,36;0,23;24,50;4,66;54,92;45,08;31,90
33100;Miami-Fort Lauderdale-Pompano Beach, FL;70,34;21,01;0,29;2,26;0,04;3,54;2,52;41,56;58,44;34,83
33140;Michigan City-La Porte, IN;84,14;10,77;0,27;0,52;0,02;2,00;2,28;5,47;94,53;81,36
33260;Midland, TX;76,93;6,64;0,74;1,25;0,04;12,00;2,39;37,70;62,30;53,20
33340;Milwaukee-Waukesha-West Allis, WI;73,72;16,78;0,55;2,96;0,03;3,66;2,30;9,48;90,52;68,97
33460;Minneapolis-St. Paul-Bloomington, MN-WI;81,00;7,42;0,69;5,73;0,04;2,35;2,77;5,37;94,63;78,61
33540;Missoula, MT;92,70;0,41;2,63;1,13;0,10;0,44;2,60;2,62;97,38;91,02
33660;Mobile, AL;60,21;34,62;0,89;1,83;0,05;0,94;1,46;2,41;97,59;59,06
33700;Modesto, CA;65,57;2,86;1,15;5,07;0,66;19,28;5,40;41,92;58,08;46,73
33740;Monroe, LA;61,53;35,36;0,25;0,84;0,04;0,89;1,09;2,10;97,90;60,63
33780;Monroe, MI;94,38;2,13;0,31;0,55;0,02;0,84;1,77;3,07;96,93;92,49
33860;Montgomery, AL;52,55;42,54;0,30;1,56;0,07;1,65;1,33;3,16;96,84;51,41
34060;Morgantown, WV;92,68;2,97;0,16;2,30;0,04;0,32;1,51;1,48;98,52;91,63
34100;Morristown, TN;91,29;2,70;0,31;0,51;0,06;3,54;1,58;6,49;93,51;88,82
34580;Mount Vernon-Anacortes, WA;83,36;0,66;2,15;1,78;0,19;8,66;3,20;16,86;83,14;76,73
34620;Muncie, IN;89,12;6,92;0,26;0,97;0,05;0,57;2,10;1,77;98,23;88,14
34740;Muskegon-Norton Shores, MI;79,96;14,45;0,82;0,55;0,02;1,37;2,84;4,80;95,20;77,32
34820;Myrtle Beach-North Myrtle Beach-Conway, SC;79,87;13,44;0,47;1,05;0,11;3,11;1,95;6,20;93,80;77,28
34900;Napa, CA;71,46;1,95;0,78;6,76;0,27;14,70;4,09;32,25;67,75;56,39
34940;Naples-Marco Island, FL;83,85;6,56;0,35;1,09;0,04;6,20;1,92;25,87;74,13;65,67
34980;Nashville-Davidson--Murfreesboro--Franklin, TN;76,86;15,24;0,33;2,28;0,05;3,19;2,05;6,63;93,37;73,97
35300;New Haven-Milford, CT;74,75;12,74;0,29;3,51;0,04;6,03;2,64;15,04;84,96;67,52
35380;New Orleans-Metairie-Kenner, LA;58,21;34,00;0,44;2,72;0,04;2,64;1,93;7,87;92,13;53,85
35620;New York-Northern New Jersey-Long Island, NY-NJ-PA;59,15;17,79;0,49;9,94;0,05;9,34;3,24;22,90;77,10;48,86
35660;Niles-Benton Harbor, MI;78,31;15,33;0,53;1,56;0,08;1,80;2,39;4,50;95,50;76,13
35840;North Port-Bradenton-Sarasota, FL;86,35;6,56;0,28;1,45;0,05;3,53;1,78;11,10;88,90;79,59
35980;Norwich-New London, CT;82,18;5,85;0,91;4,15;0,07;3,18;3,66;8,47;91,53;78,31
